,title,owner,location,create_time,readers_count,likes_count,article_url,hour,recall
0,AI+教育，让孩子更好的成长！,芊芊的思考笔记,新疆,2023-11-09T20:43:54.871+0800,1105,46,https://articles.zsxq.com/inline_form/id_zgq8uwwo6oej.html,20,0
1,OpenAI 举办 AI 春晚，AI 原生应用时代即将到来,小宝,浙江,2023-11-09T10:44:38.538+0800,1461,20,https://articles.zsxq.com/inline_form/id_jh4z0rg6nwz5.html,10,0
2,AI 公众号一线实战体感，用好 AI 写公众号爆文，其实一点也不难.(工具、Know how，全都有.),书生,山东,2023-11-07T19:34:33.664+0800,1973,53,https://articles.zsxq.com/inline_form/id_86vjctcfakw3.html,19,0
3,GPT发布会核心更新一张图总结,蕃茄,上海,2023-11-07T10:51:08.724+0800,839,30,,10,0
4,"【AI 公域写作，大学生变现 4K+复盘】

大家好，我是红油抄手，汉语言专业的大三学生，正在参加第五期 AI 之心写作营。

总共在 AI 写作项目里变现 4K+ ，其中头条号变现 1700，公众号变现 1000，百家号变现 1600。

在玩公域流量之前，我断断续续写了一年半的公众号文章，累计收益 4K+。从小号到百万大号，从几十到几百的稿费，拿到了简历上的背书，也参与出版书籍，但一直卡在瓶颈期，变现缓慢。

接触公域流量后，几个月内获得的收益，是我过去一年半收益的总和。认知被打破后，我彻底放弃了公众号写稿，转向 AI 公域写稿。

以下是我的个人拙见，详情移步飞书

<e type=""web"" href=""https%3A%2F%2Ft0vi5atuvvj.feishu.cn%2Fdocx%2FOz14dphdCoGQI1xQxQncgm4Cnve%3Ffrom%3Dfrom_copylink"" title=""https%3A%2F%2Ft0vi5atuvvj.feishu.cn%2Fdocx%2FOz14dphdCoGQI1x..."" />",红油抄手和梨花白,辽宁,2023-11-06T22:22:26.334+0800,1943,31,,22,0
5,新国产大模型御三家 深度测评系列（三）,小七姐,内蒙古,2023-11-06T13:57:44.706+0800,2080,40,https://articles.zsxq.com/inline_form/id_v81sceb5wde9.html,13,0
6,"<e type=""hashtag"" hid=""15555541155522"" title=""%23AI%E9%A3%8E%E5%90%91%E6%A0%87%23"" /> 

Grok 的一个独特且基本的优势是它可以通过𝕏平台实时了解世界。它还可以回答大多数其他人工智能系统拒绝的尖锐问题。

Grok目前还是一个早期测试产品，他会在准备好之后优先向美国的X平台的Premium Plus用户提供。

你可以在这里预约获取 Grok 的访问权限：<e type=""web"" href=""https%3A%2F%2Fgrok.x.ai%2F"" title=""xAI%20Grok"" />

我已经利用grok，成功变现了500+",学长刚蝈,江苏,2023-11-06T13:34:56.932+0800,595,8,,13,0
7,使用gpt，小白不用一行代码就可以爬虫,--亮仔--,浙江,2023-11-06T10:42:14.926+0800,2015,31,https://articles.zsxq.com/inline_form/id_a7dbl20iqf88.html,10,0
8,"知乎“知海图AI”大模型宣布开放服务，将赋能多个业务场景

“知海图AI”在公司业务提效上收益显著。知乎在分层、分类、兴趣理解、搜索等业务场景广泛应用大模型能力，人工标注量降低了90%以上，业务准召效果普遍提升了15%以上。此外，除了优秀的大语言模型能力，“知海图AI”还具备强大的多模态处理能力，助力知乎实现会员故事智能配图，赋能会员业务发展。值得一提的是，知乎教育业务也开展了基于大模型的产品创新，通过AI智能申论批改、智能作业批改、AI教务领航员，极大提升了教学效率和教学质量。

几个月前，洋哥就说过知乎对AI领域的扶持力度很大，现在官方大模型开放后，“知海图AI”的能力将逐步应用在对创作的赋能、对讨论场的赋能和对信息获取的赋能中。

AI领域的创作可能会类似之前百家号AI共创计划一样有流量扶持，喜欢文字输出的小伙伴们不要错过啦~

（AI写作不会被ban，反而是会被支持，知乎创始人、CEO周源所说，“AI是人类能力的扩增，也会让知乎社区变得更加精彩”。）

<e type=""hashtag"" hid=""15555541155522"" title=""%23AI%E9%A3%8E%E5%90%91%E6%A0%87%23"" />",卡卡,陕西,2023-11-05T10:27:12.711+0800,658,10,,10,0
9,"我靠这5个方法，在微信读书引流了200人

下午看到别的星球看到说，微信引流是个很好的方法。我在半年前，在微信读书发帖时，看见有博主在个人主页留下了微信号，也照着做，并且在原基础上，做了改进：

1.  每天阅读30 分钟以上，给榜单的书友点赞，对方的点赞，会出现在各自的主页，增加曝光
 2.  个人主页留钩子，可以是电子书，可以是副业资料，引流到微信
 3.  干货多的书评，发布在主页后，会出现在“朋友主页”里。
 4.  热门书的条目下，发表观点增加曝光。
 5.  自己主页组建分类书单：励志，心理，商业，传记和互联网，读没读过无所谓，找放到里面。

用户搜索特定书名时，包含这本书的书单会得到曝光，如果你的排名靠前，用户大概率会去到你主页，引流概率又增加了。

6.  微信读书现在有365打卡的活动，在这个词条下的曝光的非常高，每天阅读或者发书评之后，可以带上这个标签增加曝光。

靠着这几步，半年引流了小 200 人。  唯一的缺点，就是要花时间积累，才有效果。微信读书时长太短，没有说服力不行。  供参考。 破局朋友圈 ",认知小窗-认哥,北京,2023-11-04T18:30:58.563+0800,730,19,,18,0
10,"零成本做AI+拼多多，1个月变现8k,2023年暴利风口！！
去年开始AI的兴起可以说是如势不可挡，很多岗位和工作都开始尝试利用AI，使用AI了。

很显然，如何利用好AI，就是未来的科技趋势，也是发财致富的不二秘籍。

幸运的在朋友的推荐下，走入了AI+拼多多的大门。仅仅半个月的学习和实践，就已经可以开始变现了，而且完全不占用时间，零成本，一部手机，一天一小时，一个月8K完全不成问题，甚至有天赋的朋友一天就可以有这么多。拼多多用户已经有11亿，市场广大正处于红利期，有新人扶持和百亿补贴，再加上利用AI技术相结合，广阔的市场+最前沿的技术，AI+拼多多无疑是今年轻松赚钱的暴利风口。做拼多多其实单件的利润都不是很高，但是抵不住薄利多销，一件产品利润5块钱，你买2万件就是10万块钱的纯利润。以前都是月光族，花呗都得掐着点还钱，做了拼多多之后今年已经存了8万，理财还赚不少钱呢，有存款的日子可真爽。我是怎么做起来的呢？关键点就在于我在老师的指导下掌握了爆款的流量密码，完全不用动脑筋，用AI工具就可以帮你选到蓝海产品，单品买到断货，还怕不赚钱吗？

下面我详细讲一下AI+拼多多的技术优势，方便大家理解和学习，从而利用认知差赚钱。

1、AI+拼多多选品优势和原理

所以其实拼多多想要做的好，核心关键就在于选爆款。过去我们选爆款几乎都是去搬运别人或者其他平台买的好的产品，但往往你搬运过来，发现热度好像已经过了，或者是为什么一模一样的产品，就是不如别人的呢？

说白了还是信息差的问题，时间节点和消费者消费趋势你都没数据支持，后知后觉的去搬运自然是连汤都喝不到的。

AI的选品模式之一是蓝海选品，简单来说就是买的人多，卖的人少。说起来简单如何找到这些产品，人工去做就需要花很多时间和精力来整理这些数据，而且往往还不准确，因为不管是那个平台的一手数据，都不太好拿，能查看到的数据，往往是已经优化过的。

而把这些繁琐的工作交给AI，就可以解放你很多时间和精力，得到一个更准确和概率更高的爆款。2、AI+拼多多的定价比如同样是买夏威夷果，你以为定价最便宜的就会买的最好吗？其实不然，不光是这夏威夷果，你去搜一下就知道任何一个产品的定价策略都没那么简单的。

拼多多当然是以价格为王的，但并不说越低就越好，只有合适的价格才能打动消费者购买的欲望。过低会怀疑品质问题，过高自然是嫌贵了。

那我们怎么定价呢？最低的2.8，高的可以达到49.4，相加除以2等于27.5，选这个平均数？当然不是，如果没有AI工具的话，你得考察的维度很多，最简单的原理是：去掉最优和最差再比平均价格稍微低一点，在店铺其他方面不是差很多的话你的价格就很有优势了。

听起来好像很简单，但是你人工去操作的话，很麻烦，你得看起码三十四家的数据才行，但是这往往是不准确的。因为你搜到的都是明面上的数据，店铺的数据往往并不是真实数据，这里就不展开说了。

所以你人工去根据大盘调整价格都是有很大偏差的，需要你不断的去调整去试错，一个产品就这么麻烦了，你买十几个产品就根本忙不过来了，优化不出准确结果。这还是单一考虑了一个平台的结果，全网大大小小的平台是互相牵动的，这些都考虑到的话，你一个产品也定不出最优价格。

有AI来帮助就不一样了，AI帮你选好品之后，你只需要输入产品名字，它就能给你几个价格来，高端一点价格如何？低端的价格如何？而AI给出的价格是经过了包括我上面说的计算之外，还考虑到了时间、季节、消费曲线等等各种参数而得出的。

一目了然，科技是第一生产力，也是最容易创造财富的。

举个实际的例子，这款AI选出来的摆烂摸鱼的情侣短袖，AI帮忙找的货源价格是12 ，在拼多多上给出的价格是15.8，目前已经卖出了7.2万件，一件单品已经赚了 27万。而及时这款衣服目前已经有些过时了，但还在源源不断的有人购买，这就是源源不断的钱财啊。只需要你的AI帮忙上架发货而已。

AI+拼多多的应用场景其实很多的，班门论斧的讲了一下，我学习之后的一个自己的理论，不一定全对，但实际操作中算是中等偏上了。",🎠🤟晨夕（卜凡明）,辽宁,2023-11-04T11:01:58.712+0800,1954,37,,11,0
11,"ChatGPT 即将迎来重磅更新！

1、ChatGPT 显然正在制定一个灵活的“团队”计划，其中包含 Plus 中的所有内容，并且：
- 无限高速GPT-4 - 无限的高级数据分析 - 4 倍更长的上下文，让您能够处理更大的文本（32k）
- 内部可共享的聊天模板
- 数据不用于训练 月度计划（30 美元/月）： 
- 每月最低账单为 3 位用户，每月 90 美元
- 根据需要添加或删除用户 年度计划（25 美元/年 - 16.7% 折扣）： 
- 每月最低账单为 3 位用户，每月 75 美元
- 根据需要添加用户，仅在续订合同时删除用户

2、用于创建新 GPT 的“高级”模式允许您指定与之前的 Gizmo 原型类似的所有详细信息。在这里，您可以设置个人资料图标、名称、描述、说明和欢迎消息。 新功能现在包括： 
- 提示启动器（提示用户开始对话的示例） 
- 知识（此 GPT 可参考的其他文件）
- 操作（此 GPT 可以使用的附加功能）——包括 Web 浏览、DALL-E、代码解释器，甚至“自定义操作”（使用 OpenAPI 模式的函数） 

3、这比你想象的要早。ChatGPT 的“上下文连接器”将允许您“连接应用程序以在 ChatGPT 中访问它们的信息”。 Google 云端硬盘 - 将 Google 文档、表格和幻灯片附加到您的消息中，或将它们作为上下文添加到您的对话中。 Microsoft 365 - 将 Microsoft Word、Excel 和 Powerpoint 文件附加到邮件中，或将其作为上下文添加到对话中。

4、“创建GPT ”将您带到“ 魔术师 ”：“ 嗨！我将帮助您构建一个新的 GPT。你可以这样说，“做一个帮助为新产品生成视觉效果的创意人员”，或者“做一个软件工程师来帮助格式化我的代码。 What would you like to make?' 

此功能还允许您保存新创建的 GPT 以供个人使用或通过链接与他人共享。 此外，还有一个新选项可以突出显示助手响应的一部分并直接响应（指示为“ 回复 ”）。",夙愿,江苏,2023-11-03T22:01:11.474+0800,855,14,,22,0
12,这个微信秒剪是初期抖音模式，越早进入越得利，快点行动吧！,小飞仙,湖北,2023-11-03T18:01:18.880+0800,783,17,,18,0
13,新国产大模型御三家 深度测评系列（二）,小七姐,内蒙古,2023-11-03T16:32:23.023+0800,2214,56,https://articles.zsxq.com/inline_form/id_wvsa9q5t8kvf.html,16,0
14,"<e type=""hashtag"" hid=""15555541155522"" title=""%23AI%E9%A3%8E%E5%90%91%E6%A0%87%23"" /> 自从搞了这个AI混剪工具之后，<e type=""web"" href=""https%3A%2F%2Ffancyodp.cn%2Fzh"" title=""AI%E4%BA%91%E5%89%AA"" /> ，有朋友搬运了视频，轻松有了10w+的播放，我把它的作品也搬运到了快手上，也有了一千多的播放了。",闲富咨询【软件商业】,浙江,2023-11-02T09:53:23.076+0800,753,7,,9,0
15,"<e type=""hashtag"" hid=""15555541155522"" title=""%23AI%E9%A3%8E%E5%90%91%E6%A0%87%23"" /> 
今天发现一个特别有趣的案例
将logo转换为建筑，形象一样，物体不一样，完全颠覆了想象，超出大家的意料
比如：华为、联通、高铁

背后引人关注的点是超乎预期，同样的形状，一个熟悉的事物变成另一个事物，这也是为什么高赞的原因
博主是建筑设计从业者，可以将logo转成建筑，还可以怎么转？拖鞋转换成建筑、水果转换成建筑、药瓶转换为建筑、马桶转换建筑等等

总之结合自己的方向，找到大家熟悉的东西，日常见到的东西，换成另一种事物，就可以达到完全超出预期的效果，颠覆想象。越关注、越反差、越搞怪、越出乎预料越能获得更多点赞。
如果原本这个事物本身热度就很高，那就最好不过，比如苹果也可以拿来转。

变现目前主要是对外合作，后期可以搞AI绘图培训等",曹操哥哥,广东,2023-11-02T00:08:14.233+0800,815,24,,0,0
16,新·国产大模型御三家 深度测评系列（一）,小七姐,内蒙古,2023-10-30T19:25:15.376+0800,2209,64,https://articles.zsxq.com/inline_form/id_zx64dgpacr6z.html,19,0
17,"OpenAI 发布新版本 ChatGPT

现在支持上传文件，如PDF或数据文件。
而且，现在不再需要在不同的模式（联网浏览、Dall-E、代码解释器、插件等模式）之间来回切换了！ 

1、上传照片，读取照片。然后根据你的需求修改照片。
2、合并两张图像，对图像中的元素进行融合，生成新的照片！
3、使用联网功能，生成此时此刻当地的天气海报。以后创作的时候就能直接引用即时的信息和数据进行即兴创作！
4、搜索飓风季节数据并制作信息图。然后根据这个数据预测明年飓风最有可能出现在什么位置。最后生成一张明年飓风可能出现所在位置的地球云图。
5、直接可以上传PDF和其他数据文档，然后和文档进聊天！
<e type=""hashtag"" hid=""15555541155522"" title=""%23AI%E9%A3%8E%E5%90%91%E6%A0%87%23"" />",元峰,甘肃,2023-10-29T22:42:08.325+0800,1039,17,,22,0
18,"《SD视频版教程第四期：进阶玩法！图生图教程》

大家好，我是吴东子

这期视频我会结合二次元头像、人物在线换装，商业模特三个最好玩的案例，详细介绍图生图的功能和操作流程

SD终极教程系列一共有5期基础教程：SD入门、关键词、Lora模型、图生图、ControlNet

视频中提到的网盘链接：<e type=""web"" href=""https%3A%2F%2Fpan.baidu.com%2Fs%2F1IC7OojVkvcb1yJSRocJfkA%3Fpwd%3Dwdz6"" title=""https%3A%2F%2Fpan.baidu.com%2Fs%2F1IC7OojVkvcb1yJSRocJfkA%3Fpw..."" />
提取码：wdz6",吴东子,福建,2023-10-29T18:41:11.998+0800,2356,56,,18,0
19,AI提示词学习复盘 - 冯帅直播教学,一路向前,法国,2023-10-29T01:30:15.512+0800,2205,31,https://articles.zsxq.com/inline_form/id_e3i22tp1025s.html,1,1
20,提示词快闪作业——冯帅老师的万能提示词,星,福建,2023-10-28T16:56:31.459+0800,2026,24,https://articles.zsxq.com/inline_form/id_i1verdq9b4r9.html,16,1
21,GPT 创意儿童成语学习工具的构想（提示词 + D3 绘图）,景淮,加拿大,2023-10-28T13:04:31.362+0800,2084,47,https://articles.zsxq.com/inline_form/id_t1js8vdunf11.html,13,1
22,"《SD视频版教程第三期：SD里神一样的存在，Lora怎么用？》

大家好！我是吴东子

今天要讲的是Stable Diffusion里，特别重要的知识点：Lora模型

希望这期能让你在看众多美女的同时，顺带学会一些AI知识

SD终极教程系列一共有5期基础教程：SD入门、关键词、Lora模型、图生图、ControlNet

视频中提到的网盘链接：<e type=""web"" href=""https%3A%2F%2Fpan.baidu.com%2Fs%2F1IC7OojVkvcb1yJSRocJfkA%3Fpwd%3Dwdz6"" title=""https%3A%2F%2Fpan.baidu.com%2Fs%2F1IC7OojVkvcb1yJSRocJfkA%3Fpw..."" />
提取码：wdz6",吴东子,福建,2023-10-27T18:46:59.209+0800,2179,56,,18,0
23,百度 Comate 编程大模型应用复盘,木川,北京,2023-10-27T10:41:09.025+0800,2019,24,https://articles.zsxq.com/inline_form/id_ih8ojsvm255a.html,10,0
24,"<e type=""hashtag"" hid=""15555541155522"" title=""%23AI%E9%A3%8E%E5%90%91%E6%A0%87%23"" /> 
刷到B站一个帐号很有意思，利用AI总结视频，只有4条视频，却有8.1万粉丝

帐号主要有以下功能：
1. 触发视频总结：在想看的视频下，评论区回复@有趣的程序员 总结一下、帮我总结等词，即可召唤AI视频总结。
2. 触发听歌识曲：在想要知道背景音乐的视频下，回复@有趣的程序员 听歌识曲, + 视频中开始播放音乐的时间, +识别时长(可选)。
3.触发视频问答：回复@有趣的程序员 问一下+问题",珞珈Lorjia,广东,2023-10-26T20:02:15.862+0800,1080,17,,20,0
25,"爆肝两天！ChatGPT+提示词解决知识库目录混乱问题

大家好，我是熊猫Jay。随着信息时代的快速发展，知识库已经成为我们生活和工作中不可或缺的一部分。

无论是个人的学习笔记、公司的项目文档，还是整个行业的研究资料，一个结构清晰、易于检索的知识库目录结构都至关重要。

但很多时候，我们都会面临一个问题：随着知识的累积，知识库变得越来越庞大和复杂，找到我们需要的信息变得越来越困难。

对于职场新手可能缺乏有效的知识管理和分类技巧，导致知识库变得错综复杂。

当然，即使是那些在职场上工作多年的人，也会面临同样的问题。知识库的扩展和膨胀使得原先的分类方式难以适应新的需求，急需进行优化和调整，我就是其中一员，工作了六、七年，知识结构有些繁杂，偶尔遇到新知识都不知道放哪里，生怕石沉大海，那么整理出更加清晰的知识结构必须得提上日程了。

从而经常产生出几个让人困扰的问题：
1、“我记得这份文件存在，但找不到它！”
2、“明明保存了那个重要的网页链接，现在怎么找不到了？”
3、“为什么这个项目的所有资料都散落在不同的地方？”

如何解决这些问题？在本文中，我们将探讨如何利用AI结合提示词，优化知识库的目录结构，使其更加高效、有序。

全文请移步：<e type=""web"" href=""https%3A%2F%2Fsif8f6uboze.feishu.cn%2Fdocx%2FUYQXdxWZZoxDafxraYocEfM7nBf%3Ffrom%3Dfrom_copylink"" title=""https%3A%2F%2Fsif8f6uboze.feishu.cn%2Fdocx%2FUYQXdxWZZoxDafx..."" />

如有帮助，请帮忙点个赞，谢谢各位！",熊猫Jay,江苏,2023-10-26T13:11:06.032+0800,1986,28,,13,1
26,人人都能学会的 ChatGPT + 微信机器人部署教程,苏小瓶聊AI,福建,2023-10-26T08:36:31.166+0800,2231,65,https://articles.zsxq.com/inline_form/id_o5hg4vw48weg.html,8,0
27,视频号风口项目，AI 加持做就赚钱，免费教还不行动？,段老湿,天津,2023-10-25T16:33:43.700+0800,2080,62,https://articles.zsxq.com/inline_form/id_o2f9a58vc0wa.html,16,0
28,四篇 Prompt 相关论文/文档精读翻译,小七姐,内蒙古,2023-10-25T15:02:15.814+0800,2124,65,https://articles.zsxq.com/inline_form/id_2nnbacgxej63.html,15,1
29,编程界的黑科技：免费GPT-4编辑器颠覆你的编码世界！,ws,北京,2023-10-25T00:15:10.287+0800,2125,31,https://articles.zsxq.com/inline_form/id_fkuvwxrkrz5g.html,0,0
30,"<e type=""hashtag"" hid=""15555541155522"" title=""%23AI%E9%A3%8E%E5%90%91%E6%A0%87%23"" /> 
微信的对话机器人来了
关键词：0基础、全平台、大模型

预计针对轻交付的私域产品
带来巨大降本增效",威二Will2,广东,2023-10-24T18:50:05.294+0800,1248,25,,18,0
31,"大家好，我是火四眼，AI破局续费第一人。
（洋哥设计想让我选499元，我果断选择续费一年链接奖品。啥时候开启续费请大家静待洋哥通知哈[呲牙]）

首先感谢洋哥给的这个福利，我6月份加入星球以来，持续吸引我的正是各位大佬及圈友的无私利他的输出，每天都在星球里收获满满。

说来惭愧，我经常尝试星球中的各种点子和方法，却很少输出，主要还是觉得自己的写作能力比较一般，想出来的东西都比较浅显，这是我之前的一篇帖子：
<e type=""web"" href=""https%3A%2F%2Ft.zsxq.com%2F13393fale"" title=""%E4%B8%AD%E5%B9%B4%E5%8D%B1%E6%9C%BA%E6%9D%A5%E4%B8%B4%EF%BC%81%EF%BC%9F%E8%B6%85%E7%BA%A7%E5%A5%B6%E7%88%B8%E4%B8%A4%E4%B8%AA%E6%9C%88%E7%9A%84AI%E5%AD%A6%E4%B9%A0%E4%B9%8B%E6%97%85"" />

经常有朋友问我“火四眼”这个名字是什么意思，是不是霍思燕的粉丝？😓我只能微微一笑，思绪飘到20年前，那是我还是在读小学的时候。

当时我是小学里全校唯一一个戴眼镜的学生，有一次我被选中去参加一个英语趣味游戏竞赛，是一款拼字的游戏，在一块大的正方形面板上，可以嵌入一个个小方块，一个小方块上贴着一个字母，也有小方块是白板，就像麻将里的百搭一样，可以替换任意字母。游戏的方式也很简单，就是4位同学，每人依次从字母面朝下的小方块堆中选一个小方块，然后放到面板上，组成你所知道的单词。平时在训练时我经常能摸到白板，犹如火眼金睛一般，因此得名“火四眼”。

此后这个外号我就一直用于我的QQ号以及后来的微信以及小红书等。目前来看挺少有人和我同名的，我也参加了上一次的AI绘画以及AI编程航海，给自己做了一个头像，力争打造属于自己的个人IP！

打造自己的个人IP也是一场修行，首先必须得行动起来，而且是要持续行动，给自己定一个小目标，但千万不能急躁，要不断打磨自己，定期回顾自己。目前小红书的粉丝达到了1100多以及万赞收藏，数据比不上头部的大佬们但每天也能稳步增长，也有人来私信要不要合作，但目前还是没能想好，打算再持续沉淀一下，期间也在尝试贴纸的设计，但数据远没有武器设计来的好。

昨天被雨果奖的新闻刷屏了，最新的获奖得主海漄主业是一位金融从业者，但夜晚他不断的持续输出写小说，十几年的创作终于在这一刻开花结果。

你若盛开，清风自来。

同为90后的我也在想，自己是否也像海漄一样，曾经仰望星空，脑海中浮现无数的想法，现在遵照自己的本心行动起来也还不晚！前段时间尝试了老徐以及小林哥问一问的方法后，沉寂了7年的公众号竟然开始涨粉了，数量虽然不多还不到100个，但对我来说着实也是个不小的动力，今年的小目标就是通过回答问一问，达到500个粉丝开通流量主。

当然这也只是第一步，如何打造好自己的核心内容才是关键，上周一口气订阅了老徐小林哥小七姐以及皮特老师的4个小册，打算明年重点在公众号上发力一下。在编程方面也打算持续研究，这两天在学习尝试mojo，看看后面有没有机会输出一下。

最后也希望能跟着AI破局越走越远，共同成长～",火四眼,上海,2023-10-24T12:25:33.972+0800,2165,38,,12,0
32,怎样并行做多件事，还能每件都达到 80 分？,卡尔,山东,2023-10-24T02:08:32.171+0800,2426,67,https://articles.zsxq.com/inline_form/id_z93hew6amocw.html,2,0
33,"周末大量的知识输入，总结一下就是头部和积极创新的企业已经加速在场景下落地应用
比如，在下面这些场景
办公场景钉钉玩出花，工作全流程AI助力
投资领域投研，预测，解读，写分析报告
安全领域GPT写攻击代码，也可以防
​研发生产领域，效能助手，全局助手，工具
​电商场景，客服改变传统机器学习流程，打通上下游验证
​==
​感悟，就是AI真正在逐步落地改变原有习惯模式
<e type=""hashtag"" hid=""15555541155522"" title=""%23AI%E9%A3%8E%E5%90%91%E6%A0%87%23"" />",黎明,甘肃,2023-10-22T23:59:33.010+0800,1072,20,,23,0
34,一个行动起来的普通人，加入星球半年的思考,卡尔,山东,2023-10-22T12:56:15.760+0800,2485,44,https://articles.zsxq.com/inline_form/id_hszn2pav7a5r.html,12,0
35,人工智能时代的危与机，个人的一点思索,江工陪您学AI,广东,2023-10-20T18:00:10.621+0800,2311,38,https://articles.zsxq.com/inline_form/id_kqfuq37kgm1n.html,18,0
36,一个普通996加班狗副业一个月变现第一桶金的故事,义博说,河南,2023-10-20T01:41:33.738+0800,2410,59,https://articles.zsxq.com/inline_form/id_eudzaodet2ru.html,1,0
37,一个安全极客探索AI大脑的安全奥秘,ws,北京,2023-10-19T22:51:05.606+0800,2207,29,https://articles.zsxq.com/inline_form/id_agws2hp6s3zo.html,22,0
38,AI视频生成之高清电影画质免费无限玩的Moonvalley！,千与编程,江苏,2023-10-19T06:48:04.383+0800,2753,85,https://articles.zsxq.com/inline_form/id_5js2rzi6zr5v.html,6,0
39,"<e type=""hashtag"" hid=""15555541155522"" title=""%23AI%E9%A3%8E%E5%90%91%E6%A0%87%23"" /> 

可以用 ChatGPT 来当教练了！",听雨,浙江,2023-10-18T15:28:15.634+0800,1136,18,,15,0
40,成功晋升了，普通人为数不多的“破局”选择！,零一,北京,2023-10-17T21:39:23.987+0800,2636,39,https://articles.zsxq.com/inline_form/id_726vw4jneuq5.html,21,0
41,AI+拆书100本，今日分享第6本,依然S*ile's,重庆,2023-10-16T15:01:30.769+0800,2764,73,https://articles.zsxq.com/inline_form/id_8dvlcexwl3k4.html,15,0
