,title,owner,location,create_time,readers_count,likes_count,article_url,hour,recall
0,普通人如何从GPTs中赚到钱，这可能是第一个手把手的GPTs教程,小七姐,内蒙古,2023-11-10T10:30:24.880+0800,780,73,https://articles.zsxq.com/inline_form/id_435hmoeq7nzd.html,10,0
1,AI 加持下的跨境按需打印 (POD) 全剖析与喂饭式实操,杨永,浙江,2023-11-09T22:40:43.409+0800,911,10,https://articles.zsxq.com/inline_form/id_jgtw8erew9xe.html,22,0
2,"AI风向标内容运营激励计划全面升级：
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   AI风向标一直是破局要重点建设的一个栏目，这个栏目包含许多有关 AI 的赚钱玩法，以及能够代表 AI 行业发展的最前沿讯息。属于“信息差资源”。

AI风向标的内容包括但不限于：新的赚钱玩法、变现机会、新工具/功能、新思路、平台的新机会、前沿信息

关注这个栏目的圈友也更容易出成果和成绩，比如赛博机车、AI绘画打印、AI写真（早于妙鸭）、艺术二维码、微信问一问等，都是从这个栏目产生的，还是那句话“早就是优势”，你和别人的差距可能不只差在执行力，更多的是差在对这个栏目的认知上。

为了帮助大家更多更好的获取AI风向，我们团队制定了AI风向标内容运营激励计划，更好的感谢那些积极为大家贡献风向标内容的圈友，现奖励规则如下：

◇按风向标发布数量排名进行奖励：每周奖励前3名，第一名奖励10枚晶体，第二名奖励5枚晶体、第三名奖励2枚晶体。

◇额外奖励：每周率先发布风向标10条及以上，且连续7日发布奖励：奖励前5名，第一名10枚晶体，第二名8枚晶体，第三名6枚晶、第四名4枚晶体、第五名2枚晶体。

奖励按周结算，每一个自然周为一个奖励周期，奖励于次周的周一进行发放。此外如果你发布的风向标首发且有价值更有几率获得中标，相信更多的赚钱机会和AI之心持有者将会快速增加。

但这里需注意，发布多并不意味着好，为了避免信息的重复，同一主题内容，尤其是新闻类资讯，仅首发有效。技术类内容，即便不是首发，只要内容上有新意，也算有效。

最后，为了帮助大家更好地理解AI风向，我们会定期邀请星球大咖为大家做AI风向的解读，帮助你挖掘更多的用AI赚钱、创业的机会。",findyi,北京,2023-11-09T20:00:00.080+0800,1483,59,,20,0
3,借势破局，成功任职提示词工程师岗位经验分享,秋仁,广东,2023-11-09T15:35:06.706+0800,1877,131,https://articles.zsxq.com/inline_form/id_wkawlqswo20p.html,15,1
4,"星球涨价通知：

随着7个月内组织的第三次AI航海的到来。

AI破局俱乐部也将再次涨价，本周六我们会调整门票价格至568元。

本月门票将调整到正式运营价699元，随后停止上涨。

我们将持续提升服务水平，持续孵化更多AI时代的超级个体，和大家一起见证！",findyi,北京,2023-11-09T09:39:55.621+0800,2276,46,,9,0
5,"今天我突然意识到一个可喜的事情：

从3月份AI破局开始创立到现在，短短半年举办了两次AI航海、N次AI快闪、N次大咖直播、体系化的入门课程。

如果以上你都经历过，那么大概率你现在在AI领域已经小有所成了。

哪怕是卡尔<e type=""mention"" uid=""421888882555118"" title=""@%E5%8D%A1%E5%B0%94"" /> 、冯帅<e type=""mention"" uid=""111855851552842"" title=""@%E5%86%AF%E5%B8%85Prompt"" /> 、kevin<e type=""mention"" uid=""51511421845444"" title=""@%E7%A7%81%E5%9F%9F%E6%96%87%E5%A7%90"" /> 、海马<e type=""mention"" uid=""48844511541288"" title=""@%E6%B5%B7%E9%A9%AC"" /> 、段冬<e type=""mention"" uid=""585215411111884"" title=""@%E6%AE%B5%E8%80%81%E6%B9%BF"" /> 、何海<e type=""mention"" uid=""544454152854414"" title=""@%E8%B1%86%E5%93%A5"" /> 、蕃茄<e type=""mention"" uid=""28511182545881"" title=""@%E8%95%83%E8%8C%84"" /> 、<e type=""mention"" uid=""422128485222188"" title=""@%E7%9A%AE%E7%89%B9"" /> 皮特、李书生<e type=""mention"" uid=""185512544558412"" title=""@%E4%B9%A6%E7%94%9F"" /> 、<e type=""mention"" uid=""15515225248542"" title=""@%E5%85%83%E5%B3%B0@AI%E7%A0%B4%E5%B1%80"" /> 元峰、<e type=""mention"" uid=""422251212828528"" title=""@%E5%B0%8F%E6%BD%98@AI%E7%A0%B4%E5%B1%80%E4%BF%B1%E4%B9%90%E9%83%A8"" /> 小潘，等这些纯素人，都开始迈向了大佬之旅。

尤其是蕃茄<e type=""mention"" uid=""28511182545881"" title=""@%E8%95%83%E8%8C%84"" />，直接跨越几个台阶，实现副业收入远远超过主业。

有一些基础的，比如台风<e type=""mention"" uid=""585225111818184"" title=""@%E5%8F%B0%E9%A3%8E-GPT%E9%AD%94%E6%B3%95%E5%B8%88"" /> 、小七姐<e type=""mention"" uid=""841521844485142"" title=""@%E5%B0%8F%E4%B8%83%E5%A7%90"" /> 、小林<e type=""mention"" uid=""544458115484444"" title=""@%E9%97%AB%E5%B0%8F%E6%9E%97"" /> 、<e type=""mention"" uid=""421851151281848"" title=""@%E8%B4%BA%E7%BF%94"" /> 贺翔、刘驴<e type=""mention"" uid=""241148484124481"" title=""@%F0%9F%8D%80%E5%88%98%E9%A9%B4%F0%9F%92%A5"" /> 、陈司令<e type=""mention"" uid=""51281814482444"" title=""@%E9%99%88%E5%8F%B8%E4%BB%A4AI%E7%BB%98%E7%94%BB%E6%9C%BA"" /> 、吴冬子<e type=""mention"" uid=""15454211848212"" title=""@%E5%90%B4%E4%B8%9C%E5%AD%90"" /> ，等大多实现公司起飞了。

还有太多太多案例，就不一一列举了。

AI时代是真的能极速孵化超级个体的新时代，但也需要我们积极学习、尽早定位、持续深耕！

而普通人在这个时代逆天改命也只需要短短半年！

不敢想象大家积极跟我一起在这里探索三年、五年、十年会成长到什么程度。

送大家一句词：到中流击水、浪遏飞舟。",findyi,北京,2023-11-08T23:33:29.596+0800,2499,97,,23,1
6,"来个重磅福利：

最近很多小伙伴找我私聊说上次AI航海没报上名，还有很多新加入的会员反馈：洋哥，进来航海就结束了，后面还有吗？

原本今年不准备组织了，因为航海根本不赚钱，每次做完还亏钱。

小公司真亏不起，上次线下大会亏10多万还没消化完。

有人会问：为啥亏钱呢？

原因很简单：航海不收费，只收押金，押金退费率高达87%，却要投入三名全职员工996的干上一个月。更别提还要请教练、招募志愿者。

那么有人会问：为啥不收费呢？

原因也很简单：我就想普惠所有会员，这就是我的初心，不然我放着几百万年薪不干，出来创这么艰苦的业？

但是考虑到这么多人反馈、这么多人要求，我决定看看大家的需求，如果旺盛，我们加开一期AI小航海。

毕竟我一直说：要超预期的交付大家，让大家在AI时代成为先行者。

亏就亏！反正不行我给公司投钱，我的存款够公司运营10年！

几百块的星球，连续举办航海训练营的，大家应该没看见几个吧？

好了，说正题了：希望我们近期加开的，请在评论区扣个1。

过500人，我们就准备启航！！！",findyi,北京,2023-11-08T18:06:02.373+0800,2744,136,,18,0
7,我用 AI + 编程拆解了破局 300+ 精华文章，我惊呆了！,木川,北京,2023-11-07T23:46:03.072+0800,2745,131,https://articles.zsxq.com/inline_form/id_wu8tqxikt3wo.html,23,0
8,"OpenAI的发布盛会大家看了吗？

现在网络上各种解读一大堆，我说说我熬夜看完的感受：

1.GPT最大的进步是token、速度和价格

这意味着OpenAI公司突破了底层算力、甚至超越了摩尔定律的提升速度。

token变长意味着更智能、速度更快意味着更好的体验、价格降低意味着大普及。

背后更重要的信息是：文生视频、文生音乐、文生3D场景的能力将飞速发展。

这将颠覆多少行业，大家可以去深度思考下。

2.走向生态垄断之路

开发者平台、应用平台、社交功能、各种衍生服务等等。

是不是越看越像微软范式？那就对了，人家背后的金主爸爸是微软。

并且OpenAI还投资了AI芯片公司、各种底层配置相关公司。

不用怀疑它要开启科技公司垄断之旅了，未来的OpenAI大概率是家10万亿美金起步的公司。

3.Agent时代将正式拉开序幕

在北京线下大会我就提过Agent时代：人人有自己的数字智能管家，可以代表自己去跟人交易、社交等等，也能帮自己采购最好的服务。

原本我以为这个需要一家创业公司来做，没想到OpenAI自己做了。

也挺好，加速了历史进程。

4.加速拥抱AI、时不我待

GPT进化速度之快，也超过我的想象，5.0还远吗？超级个体，一人企业还远吗？值得我们深度思考。

怎么入局？去把我们星球的所有精华帖看一遍，你就真正入局了。如果再选择一个方向深耕，相信我你也可以实现一人企业。

5.人类的优势在哪

AI发展这么快，在AI时代我们应该保留强化哪些能力？

首先学会提问（prompt)，确保在这个时代不落后于人。

更重要的保持开放心态、提升创造思维、提升批判思维、提升情感共鸣能力，这些都是AI短期替代不了的能力。",findyi,北京,2023-11-07T10:44:24.797+0800,3060,139,,10,1
9,为啥我打算，重新做一家一人企业？,潘达,美国,2023-11-05T20:05:42.848+0800,3396,164,https://articles.zsxq.com/inline_form/id_z9p06loqullu.html,20,0
